decision,simulation,incremental_profit_usd,roi
Hibrido certificado,5953,-152138.49,-1.0867
Ventana conservadora,5954,51363.3,2.8535
Arbitraje agresivo,5954,-14751.5,-0.1553
Servicios de regulacion,5954,-19901.46,-0.7108
Hibrido certificado,5954,-104610.98,-0.7472
Ventana conservadora,5955,64689.83,3.5939
Arbitraje agresivo,5955,-10059.69,-0.1059
Servicios de regulacion,5955,-22236.08,-0.7941
Hibrido certificado,5955,-113874.56,-0.8134
Ventana conservadora,5956,45133.1,2.5074
Arbitraje agresivo,5956,-32928.27,-0.3466
Servicios de regulacion,5956,-16648.48,-0.5946
Hibrido certificado,5956,-132893.52,-0.9492
Ventana conservadora,5957,67636.32,3.7576
Arbitraje agresivo,5957,-2221.83,-0.0234
Servicios de regulacion,5957,-21086.25,-0.7531
Hibrido certificado,5957,-152447.63,-1.0889
Ventana conservadora,5958,62873.91,3.493
Arbitraje agresivo,5958,-85997.28,-0.9052
Servicios de regulacion,5958,-6663.67,-0.238
Hibrido certificado,5958,-116473.96,-0.832
Ventana conservadora,5959,45400.9,2.5223
Arbitraje agresivo,5959,-23009.88,-0.2422
Servicios de regulacion,5959,-16340.57,-0.5836
Hibrido certificado,5959,-148800.72,-1.0629
Ventana conservadora,5960,58996.42,3.2776
Arbitraje agresivo,5960,-52297.58,-0.5505
Servicios de regulacion,5960,-20219.69,-0.7221
Hibrido certificado,5960,-186426.86,-1.3316
Ventana conservadora,5961,57041.2,3.169
Arbitraje agresivo,5961,-54203.27,-0.5706
Servicios de regulacion,5961,-19255.32,-0.6877
Hibrido certificado,5961,-128727.49,-0.9195
Ventana conservadora,5962,47934.8,2.663
Arbitraje agresivo,5962,-8959.71,-0.0943
Servicios de regulacion,5962,-19921.48,-0.7115
Hibrido certificado,5962,-154325.77,-1.1023
Ventana conservadora,5963,56793.8,3.1552
Arbitraje agresivo,5963,-57744.1,-0.6078
Servicios de regulacion,5963,-21805.64,-0.7788
Hibrido certificado,5963,-122883.39,-0.8777
Ventana conservadora,5964,46374.85,2.5764
Arbitraje agresivo,5964,-6422.95,-0.0676
Servicios de regulacion,5964,-12233.63,-0.4369
Hibrido certificado,5964,49713.37,0.3551
Ventana conservadora,5965,52484.18,2.9158
Arbitraje agresivo,5965,-62054.18,-0.6532
Servicios de regulacion,5965,-23742.27,-0.8479
Hibrido certificado,5965,-115746.77,-0.8268
Ventana conservadora,5966,56187.47,3.1215
Arbitraje agresivo,5966,-35332.34,-0.3719
Servicios de regulacion,5966,-19926.77,-0.7117
Hibrido certificado,5966,-128787.22,-0.9199
Ventana conservadora,5967,52168.99,2.8983
Arbitraje agresivo,5967,-54839.79,-0.5773
Servicios de regulacion,5967,-24896.2,-0.8891
Hibrido certificado,5967,-145591.09,-1.0399
Ventana conservadora,5968,74365.66,4.1314
Arbitraje agresivo,5968,-63538.53,-0.6688
Servicios de regulacion,5968,-20957.21,-0.7485
Hibrido certificado,5968,-162419.72,-1.1601
Ventana conservadora,5969,57619.18,3.2011
Arbitraje agresivo,5969,-53706.07,-0.5653
Servicios de regulacion,5969,-21726.91,-0.776
Hibrido certificado,5969,-158742.54,-1.1339
Ventana conservadora,5970,54851.79,3.0473
Arbitraje agresivo,5970,10097.5,0.1063
Servicios de regulacion,5970,-22515.94,-0.8041
Hibrido certificado,5970,-123346.57,-0.881
Ventana conservadora,5971,41928.16,2.3293
Arbitraje agresivo,5971,-75490.49,-0.7946
Servicios de regulacion,5971,-15078.11,-0.5385
Hibrido certificado,5971,-121017.3,-0.8644
Ventana conservadora,5972,42860.04,2.3811
Arbitraje agresivo,5972,33553.13,0.3532
Servicios de regulacion,5972,-18623.33,-0.6651
Hibrido certificado,5972,-101656.58,-0.7261
Ventana conservadora,5973,48967.71,2.7204
Arbitraje agresivo,5973,40342.9,0.4247
Servicios de regulacion,5973,-19302.8,-0.6894
Hibrido certificado,5973,-148346.94,-1.0596
Ventana conservadora,5974,60229.33,3.3461
Arbitraje agresivo,5974,-5600.02,-0.0589
Servicios de regulacion,5974,-14921.39,-0.5329
Hibrido certificado,5974,-90111.32,-0.6437
Ventana conservadora,5975,50038.48,2.7799
Arbitraje agresivo,5975,-66484.76,-0.6998
Servicios de regulacion,5975,-17046.47,-0.6088
Hibrido certificado,5975,-143581.76,-1.0256
Ventana conservadora,5976,47051.01,2.6139
Arbitraje agresivo,5976,-51810.94,-0.5454
Servicios de regulacion,5976,-17576.04,-0.6277
Hibrido certificado,5976,-31361.14,-0.224
Ventana conservadora,5977,53382.7,2.9657
Arbitraje agresivo,5977,1284.39,0.0135
Servicios de regulacion,5977,-21468.28,-0.7667
Hibrido certificado,5977,-127623.8,-0.9116
Ventana conservadora,5978,54554.93,3.0308
Arbitraje agresivo,5978,-56057.27,-0.5901
Servicios de regulacion,5978,-18093.98,-0.6462
Hibrido certificado,5978,-94113.44,-0.6722
Ventana conservadora,5979,58776.61,3.2654
Arbitraje agresivo,5979,-32728.33,-0.3445
Servicios de regulacion,5979,-14498.79,-0.5178
Hibrido certificado,5979,-139670.75,-0.9976
Ventana conservadora,5980,52702.0,2.9279
Arbitraje agresivo,5980,-30207.69,-0.318
Servicios de regulacion,5980,-25119.95,-0.8971
Hibrido certificado,5980,-103539.38,-0.7396
Ventana conservadora,5981,53956.94,2.9976
Arbitraje agresivo,5981,-53047.25,-0.5584
Servicios de regulacion,5981,-13481.74,-0.4815
Hibrido certificado,5981,-127598.71,-0.9114
Ventana conservadora,5982,59625.0,3.3125
Arbitraje agresivo,5982,-55443.1,-0.5836
Servicios de regulacion,5982,-22128.02,-0.7903
Hibrido certificado,5982,-108120.53,-0.7723
Ventana conservadora,5983,45771.79,2.5429
Arbitraje agresivo,5983,-21275.84,-0.224
Servicios de regulacion,5983,-26367.63,-0.9417
Hibrido certificado,5983,-148500.8,-1.0607
Ventana conservadora,5984,60348.42,3.3527
Arbitraje agresivo,5984,-41511.78,-0.437
Servicios de regulacion,5984,-13060.59,-0.4664
Hibrido certificado,5984,-105490.34,-0.7535
Ventana conservadora,5985,60394.92,3.3553
Arbitraje agresivo,5985,-31735.5,-0.3341
Servicios de regulacion,5985,-16353.74,-0.5841
Hibrido certificado,5985,998993.2,7.1357
Ventana conservadora,5986,60461.57,3.359
Arbitraje agresivo,5986,-28428.52,-0.2992
Servicios de regulacion,5986,-21678.3,-0.7742
Hibrido certificado,5986,-132357.89,-0.9454
Ventana conservadora,5987,52389.29,2.9105
Arbitraje agresivo,5987,-22659.61,-0.2385
Servicios de regulacion,5987,-19206.1,-0.6859
Hibrido certificado,5987,-150373.78,-1.0741
Ventana conservadora,5988,51031.23,2.8351
Arbitraje agresivo,5988,-44414.86,-0.4675
Servicios de regulacion,5988,-20296.3,-0.7249
Hibrido certificado,5988,-125157.03,-0.894
Ventana conservadora,5989,43672.69,2.4263
Arbitraje agresivo,5989,-26100.83,-0.2747
Servicios de regulacion,5989,-25414.08,-0.9076
Hibrido certificado,5989,-118369.65,-0.8455
Ventana conservadora,5990,63672.74,3.5374
Arbitraje agresivo,5990,-29851.67,-0.3142
Servicios de regulacion,5990,-17660.45,-0.6307
Hibrido certificado,5990,-165170.34,-1.1798
Ventana conservadora,5991,63048.13,3.5027
Arbitraje agresivo,5991,-71931.56,-0.7572
Servicios de regulacion,5991,-18699.98,-0.6679
Hibrido certificado,5991,-119738.97,-0.8553
Ventana conservadora,5992,52413.3,2.9118
Arbitraje agresivo,5992,-65126.87,-0.6855
Servicios de regulacion,5992,-24028.67,-0.8582
Hibrido certificado,5992,-123316.36,-0.8808
Ventana conservadora,5993,50973.1,2.8318
Arbitraje agresivo,5993,-26289.1,-0.2767
Servicios de regulacion,5993,-10463.62,-0.3737
Hibrido certificado,5993,-141676.85,-1.012
Ventana conservadora,5994,49972.61,2.7763
Arbitraje agresivo,5994,-29469.46,-0.3102
Servicios de regulacion,5994,-16788.13,-0.5996
Hibrido certificado,5994,-116990.4,-0.8356
Ventana conservadora,5995,50109.42,2.7839
Arbitraje agresivo,5995,-40834.38,-0.4298
Servicios de regulacion,5995,-23421.15,-0.8365
Hibrido certificado,5995,-113510.21,-0.8108
Ventana conservadora,5996,67154.88,3.7308
Arbitraje agresivo,5996,-4779.85,-0.0503
Servicios de regulacion,5996,-20485.79,-0.7316
Hibrido certificado,5996,-135309.58,-0.9665
Ventana conservadora,5997,53025.48,2.9459
Arbitraje agresivo,5997,-74875.82,-0.7882
Servicios de regulacion,5997,-17060.34,-0.6093
Hibrido certificado,5997,-69890.53,-0.4992
Ventana conservadora,5998,64196.21,3.5665
Arbitraje agresivo,5998,-68161.89,-0.7175
Servicios de regulacion,5998,-13689.17,-0.4889
Hibrido certificado,5998,-112100.81,-0.8007
Ventana conservadora,5999,38891.15,2.1606
Arbitraje agresivo,5999,-54160.42,-0.5701
Servicios de regulacion,5999,-23819.11,-0.8507
Hibrido certificado,5999,-132636.2,-0.9474
Ventana conservadora,6000,48408.12,2.6893
Arbitraje agresivo,6000,-9745.62,-0.1026
Servicios de regulacion,6000,-24736.39,-0.8834
Hibrido certificado,6000,350611.85,2.5044
Ventana conservadora,6001,44331.6,2.4629
Arbitraje agresivo,6001,-34007.31,-0.358
Servicios de regulacion,6001,-22361.0,-0.7986
Hibrido certificado,6001,-124040.88,-0.886
Ventana conservadora,6002,50073.35,2.7819
Arbitraje agresivo,6002,12460.74,0.1312
Servicios de regulacion,6002,-29540.39,-1.055
Hibrido certificado,6002,-126183.8,-0.9013
Ventana conservadora,6003,46728.07,2.596
Arbitraje agresivo,6003,-28704.51,-0.3022
Servicios de regulacion,6003,-12546.97,-0.4481
Hibrido certificado,6003,-169303.7,-1.2093
Ventana conservadora,6004,58230.57,3.235
Arbitraje agresivo,6004,-16988.47,-0.1788
Servicios de regulacion,6004,-18634.72,-0.6655
Hibrido certificado,6004,-127727.98,-0.9123
Ventana conservadora,6005,43947.2,2.4415
Arbitraje agresivo,6005,-7012.76,-0.0738
Servicios de regulacion,6005,-25673.95,-0.9169
Hibrido certificado,6005,-136748.16,-0.9768
Ventana conservadora,6006,52363.97,2.9091
Arbitraje agresivo,6006,-56441.32,-0.5941
Servicios de regulacion,6006,-22622.37,-0.8079
Hibrido certificado,6006,-138272.52,-0.9877
Ventana conservadora,6007,63443.51,3.5246
Arbitraje agresivo,6007,-24587.78,-0.2588
Servicios de regulacion,6007,-21681.06,-0.7743
Hibrido certificado,6007,-68180.46,-0.487
Ventana conservadora,6008,41613.01,2.3118
Arbitraje agresivo,6008,-21240.03,-0.2236
Servicios de regulacion,6008,-14139.11,-0.505
Hibrido certificado,6008,-145563.58,-1.0397
Ventana conservadora,6009,60367.91,3.3538
Arbitraje agresivo,6009,4561.2,0.048
Servicios de regulacion,6009,-14910.37,-0.5325
Hibrido certificado,6009,-73188.13,-0.5228
Ventana conservadora,6010,41763.52,2.3202
Arbitraje agresivo,6010,-16750.87,-0.1763
Servicios de regulacion,6010,-12083.04,-0.4315
Hibrido certificado,6010,-137114.69,-0.9794
Ventana conservadora,6011,37326.83,2.0737
Arbitraje agresivo,6011,-77794.41,-0.8189
Servicios de regulacion,6011,-24701.58,-0.8822
Hibrido certificado,6011,-145693.91,-1.0407
Ventana conservadora,6012,63420.83,3.5234
Arbitraje agresivo,6012,5674.18,0.0597
Servicios de regulacion,6012,-13103.13,-0.468
Hibrido certificado,6012,-135711.88,-0.9694
Ventana conservadora,6013,62303.32,3.4613
Arbitraje agresivo,6013,-37029.24,-0.3898
Servicios de regulacion,6013,-16460.85,-0.5879
Hibrido certificado,6013,-89748.35,-0.6411
Ventana conservadora,6014,70055.05,3.8919
Arbitraje agresivo,6014,273.55,0.0029
Servicios de regulacion,6014,-16395.06,-0.5855
Hibrido certificado,6014,-145801.51,-1.0414
Ventana conservadora,6015,62357.88,3.4643
Arbitraje agresivo,6015,-11613.32,-0.1222
Servicios de regulacion,6015,-23068.37,-0.8239
Hibrido certificado,6015,-104410.69,-0.7458
Ventana conservadora,6016,54070.99,3.0039
Arbitraje agresivo,6016,-247.82,-0.0026
Servicios de regulacion,6016,-18534.89,-0.662
Hibrido certificado,6016,-126890.01,-0.9064
Ventana conservadora,6017,46037.19,2.5576
Arbitraje agresivo,6017,-26158.33,-0.2754
Servicios de regulacion,6017,-19141.15,-0.6836
Hibrido certificado,6017,-6046.66,-0.0432
Ventana conservadora,6018,48373.31,2.6874
Arbitraje agresivo,6018,53067.96,0.5586
Servicios de regulacion,6018,-24034.41,-0.8584
Hibrido certificado,6018,-123610.61,-0.8829
Ventana conservadora,6019,34567.43,1.9204
Arbitraje agresivo,6019,-33119.55,-0.3486
Servicios de regulacion,6019,-24269.88,-0.8668
Hibrido certificado,6019,-143299.58,-1.0236
Ventana conservadora,6020,69319.18,3.8511
Arbitraje agresivo,6020,-73746.5,-0.7763
Servicios de regulacion,6020,-12030.45,-0.4297
Hibrido certificado,6020,-41615.27,-0.2973
Ventana conservadora,6021,36998.62,2.0555
Arbitraje agresivo,6021,30328.69,0.3192
Servicios de regulacion,6021,-27161.87,-0.9701
Hibrido certificado,6021,-46246.85,-0.3303
Ventana conservadora,6022,52626.49,2.9237
Arbitraje agresivo,6022,-1592.12,-0.0168
Servicios de regulacion,6022,-12252.13,-0.4376
Hibrido certificado,6022,-139175.55,-0.9941
Ventana conservadora,6023,63363.8,3.5202
Arbitraje agresivo,6023,-13772.26,-0.145
Servicios de regulacion,6023,-15383.7,-0.5494
Hibrido certificado,6023,-99940.04,-0.7139
Ventana conservadora,6024,43832.28,2.4351
Arbitraje agresivo,6024,-46549.15,-0.49
Servicios de regulacion,6024,-24292.9,-0.8676
Hibrido certificado,6024,-37062.16,-0.2647
Ventana conservadora,6025,60494.99,3.3608
Arbitraje agresivo,6025,-52994.93,-0.5578
Servicios de regulacion,6025,-25932.11,-0.9261
Hibrido certificado,6025,-138947.85,-0.9925
Ventana conservadora,6026,74023.76,4.1124
Arbitraje agresivo,6026,10899.59,0.1147
Servicios de regulacion,6026,-19459.82,-0.695
Hibrido certificado,6026,-146030.16,-1.0431
Ventana conservadora,6027,57341.27,3.1856
Arbitraje agresivo,6027,-96827.79,-1.0192
Servicios de regulacion,6027,-25938.43,-0.9264
Hibrido certificado,6027,-97145.23,-0.6939
Ventana conservadora,6028,53898.25,2.9943
Arbitraje agresivo,6028,-46009.68,-0.4843
Servicios de regulacion,6028,-8943.69,-0.3194
Hibrido certificado,6028,-117589.68,-0.8399
Ventana conservadora,6029,45394.34,2.5219
Arbitraje agresivo,6029,-57406.95,-0.6043
Servicios de regulacion,6029,-22125.61,-0.7902
Hibrido certificado,6029,-141020.33,-1.0073
Ventana conservadora,6030,55948.27,3.1082
Arbitraje agresivo,6030,39318.08,0.4139
Servicios de regulacion,6030,-21805.61,-0.7788
Hibrido certificado,6030,-52970.95,-0.3784
Ventana conservadora,6031,53891.54,2.994
Arbitraje agresivo,6031,-50093.81,-0.5273
Servicios de regulacion,6031,-17814.34,-0.6362
Hibrido certificado,6031,-120833.75,-0.8631
Ventana conservadora,6032,66291.35,3.6829
Arbitraje agresivo,6032,-58862.64,-0.6196
Servicios de regulacion,6032,-13779.59,-0.4921
Hibrido certificado,6032,-97362.6,-0.6954
Ventana conservadora,6033,40707.05,2.2615
Arbitraje agresivo,6033,17761.89,0.187
Servicios de regulacion,6033,-13426.38,-0.4795
Hibrido certificado,6033,-139120.34,-0.9937
Ventana conservadora,6034,59101.32,3.2834
Arbitraje agresivo,6034,-34173.47,-0.3597
Servicios de regulacion,6034,-19312.8,-0.6897
Hibrido certificado,6034,-64912.62,-0.4637
Ventana conservadora,6035,61071.19,3.3928
Arbitraje agresivo,6035,-59118.71,-0.6223
Servicios de regulacion,6035,-13576.83,-0.4849
Hibrido certificado,6035,-152456.23,-1.089
Ventana conservadora,6036,54200.58,3.0111
Arbitraje agresivo,6036,-16837.64,-0.1772
Servicios de regulacion,6036,-22023.66,-0.7866
Hibrido certificado,6036,-168747.36,-1.2053
Ventana conservadora,6037,50621.69,2.8123
Arbitraje agresivo,6037,-33490.8,-0.3525
Servicios de regulacion,6037,-21427.86,-0.7653
Hibrido certificado,6037,-150707.33,-1.0765
Ventana conservadora,6038,54437.45,3.0243
Arbitraje agresivo,6038,-14337.28,-0.1509
Servicios de regulacion,6038,-10942.91,-0.3908
Hibrido certificado,6038,-124468.56,-0.8891
Ventana conservadora,6039,48615.31,2.7009
Arbitraje agresivo,6039,-70508.09,-0.7422
Servicios de regulacion,6039,-17516.38,-0.6256
Hibrido certificado,6039,-131694.33,-0.9407
Ventana conservadora,6040,50509.46,2.8061
Arbitraje agresivo,6040,-7344.12,-0.0773
Servicios de regulacion,6040,-14448.14,-0.516
Hibrido certificado,6040,-3655.72,-0.0261
Ventana conservadora,6041,53400.04,2.9667
Arbitraje agresivo,6041,-14450.77,-0.1521
Servicios de regulacion,6041,-21873.45,-0.7812
Hibrido certificado,6041,-112947.65,-0.8068
Ventana conservadora,6042,58086.1,3.227
Arbitraje agresivo,6042,-6865.38,-0.0723
Servicios de regulacion,6042,-18817.82,-0.6721
Hibrido certificado,6042,-144328.14,-1.0309
Ventana conservadora,6043,60336.48,3.352
Arbitraje agresivo,6043,-68806.95,-0.7243
Servicios de regulacion,6043,-18008.52,-0.6432
Hibrido certificado,6043,-120015.83,-0.8573
Ventana conservadora,6044,64334.03,3.5741
Arbitraje agresivo,6044,-28810.32,-0.3033
Servicios de regulacion,6044,-11194.08,-0.3998
Hibrido certificado,6044,-132728.53,-0.9481
Ventana conservadora,6045,49525.73,2.7514
Arbitraje agresivo,6045,-19174.39,-0.2018
Servicios de regulacion,6045,-12116.86,-0.4327
Hibrido certificado,6045,-124127.78,-0.8866
Ventana conservadora,6046,47319.22,2.6288
Arbitraje agresivo,6046,-38279.0,-0.4029
Servicios de regulacion,6046,-23103.87,-0.8251
Hibrido certificado,6046,-135286.25,-0.9663
Ventana conservadora,6047,59234.54,3.2908
Arbitraje agresivo,6047,-8848.07,-0.0931
Servicios de regulacion,6047,-23718.25,-0.8471
Hibrido certificado,6047,-135381.31,-0.967
Ventana conservadora,6048,70701.25,3.9278
Arbitraje agresivo,6048,-1818.58,-0.0191
Servicios de regulacion,6048,-13283.54,-0.4744
Hibrido certificado,6048,-165956.61,-1.1854
Ventana conservadora,6049,64705.17,3.5947
Arbitraje agresivo,6049,-18345.95,-0.1931
Servicios de regulacion,6049,-15535.71,-0.5548
Hibrido certificado,6049,-113370.59,-0.8098
Ventana conservadora,6050,69878.62,3.8821
Arbitraje agresivo,6050,-57538.4,-0.6057
Servicios de regulacion,6050,-21264.27,-0.7594
Hibrido certificado,6050,-157276.61,-1.1234
Ventana conservadora,6051,59453.01,3.3029
Arbitraje agresivo,6051,-38195.46,-0.4021
Servicios de regulacion,6051,-24189.54,-0.8639
Hibrido certificado,6051,-40456.45,-0.289
Ventana conservadora,6052,54915.78,3.0509
Arbitraje agresivo,6052,-19378.87,-0.204
Servicios de regulacion,6052,-14106.95,-0.5038
Hibrido certificado,6052,-128084.73,-0.9149
Ventana conservadora,6053,63968.37,3.5538
Arbitraje agresivo,6053,-28513.97,-0.3001
Servicios de regulacion,6053,-20091.87,-0.7176
Hibrido certificado,6053,91432.33,0.6531
Ventana conservadora,6054,55045.0,3.0581
Arbitraje agresivo,6054,-44370.21,-0.4671
Servicios de regulacion,6054,-17940.74,-0.6407
Hibrido certificado,6054,-127608.44,-0.9115
Ventana conservadora,6055,45616.93,2.5343
Arbitraje agresivo,6055,-30991.86,-0.3262
Servicios de regulacion,6055,-11565.6,-0.4131
Hibrido certificado,6055,-63638.6,-0.4546
Ventana conservadora,6056,60447.16,3.3582
Arbitraje agresivo,6056,-40672.45,-0.4281
Servicios de regulacion,6056,-14906.17,-0.5324
Hibrido certificado,6056,-106008.27,-0.7572
Ventana conservadora,6057,63138.62,3.5077
Arbitraje agresivo,6057,-16008.22,-0.1685
Servicios de regulacion,6057,-14916.36,-0.5327
Hibrido certificado,6057,-90262.66,-0.6447
Ventana conservadora,6058,53599.09,2.9777
Arbitraje agresivo,6058,-55975.57,-0.5892
Servicios de regulacion,6058,-24771.67,-0.8847
Hibrido certificado,6058,-130201.05,-0.93
Ventana conservadora,6059,60100.78,3.3389
Arbitraje agresivo,6059,-8517.56,-0.0897
Servicios de regulacion,6059,-22384.66,-0.7995
Hibrido certificado,6059,-140963.7,-1.0069
Ventana conservadora,6060,68868.74,3.826
Arbitraje agresivo,6060,-32260.37,-0.3396
Servicios de regulacion,6060,-25091.87,-0.8961
Hibrido certificado,6060,-117381.81,-0.8384
Ventana conservadora,6061,62627.46,3.4793
Arbitraje agresivo,6061,-27012.31,-0.2843
Servicios de regulacion,6061,-19780.86,-0.7065
Hibrido certificado,6061,-128914.96,-0.9208
Ventana conservadora,6062,61655.4,3.4253
Arbitraje agresivo,6062,-67099.48,-0.7063
Servicios de regulacion,6062,-12238.15,-0.4371
Hibrido certificado,6062,83207.4,0.5943
Ventana conservadora,6063,55235.21,3.0686
Arbitraje agresivo,6063,-48239.29,-0.5078
Servicios de regulacion,6063,-20764.4,-0.7416
Hibrido certificado,6063,-127081.67,-0.9077
Ventana conservadora,6064,48483.99,2.6936
Arbitraje agresivo,6064,-59537.96,-0.6267
Servicios de regulacion,6064,-19353.01,-0.6912
Hibrido certificado,6064,-138532.12,-0.9895
Ventana conservadora,6065,52164.33,2.898
Arbitraje agresivo,6065,-28097.12,-0.2958
Servicios de regulacion,6065,-18402.68,-0.6572
Hibrido certificado,6065,-147056.78,-1.0504
Ventana conservadora,6066,56623.26,3.1457
Arbitraje agresivo,6066,-50648.72,-0.5331
Servicios de regulacion,6066,-29686.32,-1.0602
Hibrido certificado,6066,-151718.3,-1.0837
Ventana conservadora,6067,57721.44,3.2067
Arbitraje agresivo,6067,-10398.76,-0.1095
Servicios de regulacion,6067,-26761.59,-0.9558
Hibrido certificado,6067,-177881.51,-1.2706
Ventana conservadora,6068,54338.71,3.0188
Arbitraje agresivo,6068,-42781.23,-0.4503
Servicios de regulacion,6068,-21263.84,-0.7594
Hibrido certificado,6068,-106970.04,-0.7641
Ventana conservadora,6069,60867.05,3.3815
Arbitraje agresivo,6069,-28234.55,-0.2972
Servicios de regulacion,6069,-21158.54,-0.7557
Hibrido certificado,6069,-153176.95,-1.0941
Ventana conservadora,6070,55966.58,3.1093
Arbitraje agresivo,6070,-60815.67,-0.6402
Servicios de regulacion,6070,-17412.91,-0.6219
Hibrido certificado,6070,-95669.06,-0.6834
Ventana conservadora,6071,57761.35,3.209
Arbitraje agresivo,6071,-53509.63,-0.5633
Servicios de regulacion,6071,-19961.97,-0.7129
Hibrido certificado,6071,-159551.14,-1.1397
Ventana conservadora,6072,72832.83,4.0463
Arbitraje agresivo,6072,-60787.46,-0.6399
Servicios de regulacion,6072,-23031.09,-0.8225
Hibrido certificado,6072,-94425.29,-0.6745
Ventana conservadora,6073,60175.34,3.3431
Arbitraje agresivo,6073,-24891.76,-0.262
Servicios de regulacion,6073,-18585.95,-0.6638
Hibrido certificado,6073,-118066.16,-0.8433
Ventana conservadora,6074,64057.01,3.5587
Arbitraje agresivo,6074,-48132.21,-0.5067
Servicios de regulacion,6074,-10033.01,-0.3583
Hibrido certificado,6074,-5732.34,-0.0409
Ventana conservadora,6075,54731.22,3.0406
Arbitraje agresivo,6075,57426.4,0.6045
Servicios de regulacion,6075,-12215.16,-0.4363
Hibrido certificado,6075,-117830.58,-0.8416
Ventana conservadora,6076,62233.3,3.4574
Arbitraje agresivo,6076,-21153.89,-0.2227
Servicios de regulacion,6076,-13248.77,-0.4732
Hibrido certificado,6076,-101111.94,-0.7222
Ventana conservadora,6077,39924.81,2.218
Arbitraje agresivo,6077,-8770.83,-0.0923
Servicios de regulacion,6077,-21439.81,-0.7657
Hibrido certificado,6077,-120152.07,-0.8582
Ventana conservadora,6078,48811.0,2.7117
Arbitraje agresivo,6078,-22215.18,-0.2338
Servicios de regulacion,6078,-18077.8,-0.6456
Hibrido certificado,6078,-53873.26,-0.3848
Ventana conservadora,6079,49192.02,2.7329
Arbitraje agresivo,6079,-26348.33,-0.2774
Servicios de regulacion,6079,-23820.73,-0.8507
Hibrido certificado,6079,-155575.64,-1.1113
Ventana conservadora,6080,60425.11,3.357
Arbitraje agresivo,6080,-50151.9,-0.5279
Servicios de regulacion,6080,-20725.32,-0.7402
Hibrido certificado,6080,322873.48,2.3062
Ventana conservadora,6081,58024.92,3.2236
Arbitraje agresivo,6081,-41813.58,-0.4401
Servicios de regulacion,6081,-20245.61,-0.7231
Hibrido certificado,6081,-107165.18,-0.7655
Ventana conservadora,6082,48904.04,2.7169
Arbitraje agresivo,6082,-60967.24,-0.6418
Servicios de regulacion,6082,-16405.07,-0.5859
Hibrido certificado,6082,-138321.43,-0.988
Ventana conservadora,6083,44900.36,2.4945
Arbitraje agresivo,6083,-30203.66,-0.3179
Servicios de regulacion,6083,-19813.39,-0.7076
Hibrido certificado,6083,-152101.11,-1.0864
Ventana conservadora,6084,56995.98,3.1664
Arbitraje agresivo,6084,-38690.47,-0.4073
Servicios de regulacion,6084,-19989.66,-0.7139
Hibrido certificado,6084,-136287.84,-0.9735
Ventana conservadora,6085,75565.93,4.1981
Arbitraje agresivo,6085,-27299.27,-0.2874
Servicios de regulacion,6085,-20771.45,-0.7418
Hibrido certificado,6085,-122707.41,-0.8765
Ventana conservadora,6086,73967.21,4.1093
Arbitraje agresivo,6086,-76720.44,-0.8076
Servicios de regulacion,6086,-24910.22,-0.8897
Hibrido certificado,6086,-121545.72,-0.8682
Ventana conservadora,6087,50784.24,2.8213
Arbitraje agresivo,6087,-11438.75,-0.1204
Servicios de regulacion,6087,-27068.38,-0.9667
Hibrido certificado,6087,-86310.4,-0.6165
Ventana conservadora,6088,53059.74,2.9478
Arbitraje agresivo,6088,-27519.07,-0.2897
Servicios de regulacion,6088,-9013.55,-0.3219
Hibrido certificado,6088,-36840.37,-0.2631
Ventana conservadora,6089,58882.12,3.2712
Arbitraje agresivo,6089,-66281.69,-0.6977
Servicios de regulacion,6089,-19094.2,-0.6819
Hibrido certificado,6089,-126122.33,-0.9009
Ventana conservadora,6090,62129.06,3.4516
Arbitraje agresivo,6090,-23317.8,-0.2455
Servicios de regulacion,6090,-10731.46,-0.3833
Hibrido certificado,6090,-101218.73,-0.723
Ventana conservadora,6091,58542.08,3.2523
Arbitraje agresivo,6091,-4288.96,-0.0451
Servicios de regulacion,6091,-22094.58,-0.7891
Hibrido certificado,6091,-122154.38,-0.8725
Ventana conservadora,6092,60546.91,3.3637
Arbitraje agresivo,6092,-7224.27,-0.076
Servicios de regulacion,6092,-14024.61,-0.5009
Hibrido certificado,6092,-158543.68,-1.1325
Ventana conservadora,6093,67819.77,3.7678
Arbitraje agresivo,6093,-1453.82,-0.0153
Servicios de regulacion,6093,-18041.44,-0.6443
Hibrido certificado,6093,-144110.68,-1.0294
Ventana conservadora,6094,41219.95,2.29
Arbitraje agresivo,6094,16807.24,0.1769
Servicios de regulacion,6094,-24383.96,-0.8709
Hibrido certificado,6094,-157710.42,-1.1265
Ventana conservadora,6095,56337.4,3.1299
Arbitraje agresivo,6095,-13780.28,-0.1451
Servicios de regulacion,6095,-20744.97,-0.7409
Hibrido certificado,6095,-88997.49,-0.6357
Ventana conservadora,6096,55509.67,3.0839
Arbitraje agresivo,6096,-66558.87,-0.7006
Servicios de regulacion,6096,-18312.57,-0.654
Hibrido certificado,6096,-168243.67,-1.2017
Ventana conservadora,6097,51411.41,2.8562
Arbitraje agresivo,6097,-33420.61,-0.3518
Servicios de regulacion,6097,-25993.44,-0.9283
Hibrido certificado,6097,-152539.74,-1.0896
Ventana conservadora,6098,50206.0,2.7892
Arbitraje agresivo,6098,-68558.75,-0.7217
Servicios de regulacion,6098,-17611.07,-0.629
